accuracy,loss,val_accuracy,val_loss,learning_rate
0.564556896686554,1.6080530881881714,0.8307900428771973,0.5936763882637024,9.999999747378752e-05
0.7743404507637024,0.7500808835029602,0.8934285044670105,0.36465880274772644,9.999999747378752e-05
0.8256806135177612,0.5614674091339111,0.9045040607452393,0.30332401394844055,9.999999747378752e-05
0.8512716293334961,0.46684473752975464,0.9133645296096802,0.2629534900188446,9.999999747378752e-05
0.8688063025474548,0.41393935680389404,0.9202559590339661,0.2438959777355194,9.999999747378752e-05
0.8800747990608215,0.37236523628234863,0.9248092770576477,0.22645661234855652,9.999999747378752e-05
0.8905007839202881,0.34021812677383423,0.9294856190681458,0.20814166963100433,9.999999747378752e-05
0.8938707709312439,0.3272431194782257,0.9271474480628967,0.2112593650817871,9.999999747378752e-05
0.8994523882865906,0.31211593747138977,0.9356386661529541,0.1937084048986435,9.999999747378752e-05
0.9067716002464294,0.2906845510005951,0.9350233674049377,0.1934901922941208,9.999999747378752e-05
0.9094834327697754,0.27439579367637634,0.9401919841766357,0.18263594806194305,9.999999747378752e-05
0.912247896194458,0.26592040061950684,0.9395766854286194,0.1812874972820282,9.999999747378752e-05
0.9158022403717041,0.2544964551925659,0.9383460283279419,0.1786937713623047,9.999999747378752e-05
0.9177241921424866,0.24765799939632416,0.9392074942588806,0.1771651953458786,9.999999747378752e-05
0.9183034300804138,0.24591809511184692,0.9452375173568726,0.1676052063703537,9.999999747378752e-05
0.9243062734603882,0.2280835509300232,0.9448683261871338,0.16670022904872894,9.999999747378752e-05
0.9254910349845886,0.22532273828983307,0.944991409778595,0.1623341143131256,9.999999747378752e-05
0.9248064756393433,0.2255055457353592,0.9440069198608398,0.16446244716644287,9.999999747378752e-05
0.9303354024887085,0.216129332780838,0.947329580783844,0.15979376435279846,9.999999747378752e-05
0.9308356642723083,0.20780344307422638,0.9486832618713379,0.15100863575935364,9.999999747378752e-05
0.9304670691490173,0.2106972485780716,0.9488062858581543,0.1543060541152954,9.999999747378752e-05
0.9322836995124817,0.2032890021800995,0.9501599669456482,0.15185996890068054,9.999999747378752e-05
0.9349955320358276,0.19439569115638733,0.9513906240463257,0.14970214664936066,9.999999747378752e-05
0.934705913066864,0.19865939021110535,0.9485601782798767,0.15504518151283264,9.999999747378752e-05
0.938549816608429,0.18650318682193756,0.9490524530410767,0.15205617249011993,9.999999747378752e-05
0.9371281266212463,0.18868345022201538,0.9480679035186768,0.1547420769929886,9.999999747378752e-05
0.9425253868103027,0.17411364614963531,0.9539749026298523,0.1427796334028244,1.9999999494757503e-05
0.9461060762405396,0.16057032346725464,0.9526212215423584,0.1414911299943924,1.9999999494757503e-05
0.9458954334259033,0.1632228046655655,0.9539749026298523,0.14033254981040955,1.9999999494757503e-05
0.9436048865318298,0.1630273461341858,0.9532365202903748,0.14129270613193512,1.9999999494757503e-05
